InstanceName	InstancePath	Time	LimitTime	Objective	status	nbNodes
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance0.txt	0.014598	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance1.txt	0.0129492	600	2	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance2.txt	0.0145975	600	1	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance3.txt	0.0104999	600	1	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance4.txt	0.012256	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance0.txt	0.0115802	600	7	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance1.txt	0.0175713	600	3	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance2.txt	0.00949793	600	3	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance3.txt	0.0120571	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance4.txt	0.0151916	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance0.txt	0.0123627	600	5	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance1.txt	0.0127873	600	4	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance2.txt	0.0134171	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance3.txt	0.0151604	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance4.txt	0.0121256	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance0.txt	0.00893208	600	2	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance1.txt	0.0131453	600	0	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance2.txt	0.0132831	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance3.txt	0.0120027	600	6	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance4.txt	0.0131418	600	5	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance0.txt	0.0131826	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance1.txt	0.0103089	600	0	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance2.txt	0.0198632	600	5	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance3.txt	0.0122236	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance4.txt	0.0141119	600	0	Optimal	0
